response,target_recipe
Mix together all the dry ingredients and set aside. In a small bowl combine the water and the ranch dressing. Dip the chicken in the water mixture then roll in the dry mixture. Place on a baking sheet. Bake at 350 for 20 minutes or till done. Drain on a paper towel and serve with the sauce.,12466
"Spread one slice with dijon mustard. Layer with dill pickles and swiss cheese. Top with other slice, spread with butter to melt the cheese.",391744
In large skillet over medium heat cook the seeds and stir constantly until they begin to pop. Then add the butter and oil. Continue to stir until all the seeds are a light golden color. Sprinkle with salt and serve warm or cool.,102190
"In a medium saucepan cook orzo according to package directions. Drain the pasta. In a large saucepan melt the butter. Add the garlic, cook for about 1 minute. Whisk in the milk. Add the parmesan cheese. Bring to a simmer. Add the drained orzo. Stir until the cheese is melted. Season with salt and pepper. Add the fresh parsley. Serve immediately.",332833
"In a large skillet over medium high heat, heat oil until it just starts to smoke. Add sausage to skillet and cook until no longer pink. Remove sausage from pan, reserving drippings. Add garlic to drippings in pan. Stir until garlic turns golden. Add tomatoes. Stir to combine. Add parsley. Season with thyme, salt & pepper. Add hot water. Cover skillet. Reduce heat to medium low. Simmer 10-15 minutes. Serve over rice.",292011
"Preheat oven to 160c. Lightly oil a baking dish. Cut capsicums into halves and remove seeds. In a bowl mix ricotta with lemon rind, basil, and a little salt and pepper. Divide the mixture between the capsicums and place into the baking dish. Cook for about 20 minutes or until capsicums are tender. In a bowl toss the tomatoes with the oil and salt and pepper. Place over capsicums and cook for a further 20 minutes. Garnish with the onion.",138960
Wash roast. Pat dry. Rub with seasoning salt. Sprinkle with liquid smoke. Place in crockpot. Add onion. Pour in water. Cook on low 6-7 hours. Remove roast. Shred. Add barbecue sauce. Return to crockpot. Heat through. Serve with rice.,112368
"Boil potatoes until done then drain. Cut into small pieces and set aside in a bowl. Peel the zucchini and dice into small pieces. Heat olive oil in a large saucepan over moderate heat. Add garlic and onion and cook until the onions are soft. Add the zucchini and continue cooking for a few minutes until the zucchini is soft. Add the potatoes, half the water and the soft cheese. Cook until the mixture is heated through. Season to taste. Serve at once garnished with fresh herbs.",324163
"Heat the oven to 200C. Line a baking tray with baking paper. Cut the capsicums in half lengthways. Remove the seeds and place capsicums cut side down on the baking tray. Bake for 20 minutes or until capsicums are soft and cooked through. Combine the red capsicum, yellow capsicum and goat cheese in a bowl and mix well. Set aside. Cook the pasta in a saucepan of boiling water according to packet directions. Drain. Add the pasta and the remaining ingredients to the capsicum mixture and stir to combine. Serve at once.",61050
Place sour cherries in bottom of baking dish. Sprinkle with sugar. Cut butter into tablespoon-sized pieces. Distribute over sour cherries. Mix flour and spices. Crumble over butter. Bake at 350 degrees for 30 minutes.,66253
Sauté onions and green peppers in butter until lightly browned. Add in the eggs. Season with salt and pepper. Add the breadcrumbs and grated cheese on top of the egg mixture and place in the pre-heated oven for approximately 20 minutes or until the top is browned. Serve hot.,138610
Wash and drain berries. Toss berries with sugar. Spread on a baking dish or cookie sheet. Bake at 350 degrees until just tender. Cool slightly. Spoon berries into dessert dishes. Top with whipped topping and lemon yogurt. Garnish with lemon peel.,243941
combine bisquick mix with water to form dough. roll out thinly. cut out with a biscuit cutter. fry in oil until golden brown. put in a baking dish and pour over dressing. sprinkle with breadcrumbs. bake at 350 degrees for 30 minutes,400743
Beat egg whites at medium speed until soft peaks form. Gradually add sugar and beat until stiff peaks form. Add cornstarch and beat until combined. Add lemon juice and beat until thick.,159987
Preheat oven to 325f. Cream coffee and sugar in small bowl. Beat eggs and vanilla in large bowl until foamy. Beat in the coffee mixture and then mix in the dry ingredients. Stir in chocolate chips and walnuts. Spread in a buttered 9x13-inch pan. Bake 30-35 minutes or until golden brown and center is set. Cool in pan. Cut into squares.,254650
Cook and drain the pasta. In a bowl combine the pasta and the three bean mix. Mix the miracle whip in the eggs and add to the pasta mixture. Add the pickle relish. Add the sea salt and black pepper to taste. Let stand at room temperature for 3 hours to blend flavors.,450449
Pour the vodka and the lime juice into a cocktail shaker half-filled with ice cubes. Shake well. Strain into a collins glass almost filled with crushed ice. Top with the cointreau liqueur and cranberry juice. Garnish with the lime zest and serve.,440645
"Wash and peel the turnips and parsnips and cut into 1 1/2 - 2 inch pieces. Steam or boil until soft, about 15 minutes. Drain well. Mash with a potato masher or in an electric mixer until smooth. Stir in margarine, soymilk, mayonnaise and spices until smooth. Serve immediately or refrigerate until serving. Serves 8.
name: root veggie mash
ingredients: rutabaga, parsnip, carrot, turnip, salt, butter
preparation:Peel and slice all veggies to similar sizes. They will become tender at the same time this way. Add to a pot of salted water, just enough water to cover. Bring to boil, turn down the heat and simmer until tender. Drain off water. Leave in pot. Add butter and mash. Add more salt if desired. Serve immediately.
name: irish carrot parsnip mash
ingredients: carrots, sugar, parsnips, butter, salt, pepper,",419094
Slice garlic into thin rounds and place on baking sheet. Drizzle with olive oil and sprinkle with salt. Broil until golden and charred. Slice leeks into thin rounds and saute with garlic in butter until soft and translucent. Add potatoes and stir until coated with butter. Add broth and simmer until soft and tender. Puree in batches using immersion blender. Add tomato paste and spices and cook for another 10 minutes or until thick and rich. Serve with crusty bread and creme fraiche.,102930
"Cut cucumbers and onions into 1/4"" slices. In a small saucepan heat oil over medium heat. Add garlic powder and chile. Stir until fragrant. Stir in vinegar and sugar. Remove from heat. Add cucumbers. Toss to coat. Cool. Salt to taste. Chill. Serve with meats.
name: sweet cucumber and mandarin orange saladingredients: cucumber, mandarin oranges, sweet onion, granulated sugar, white vinegar, fresh tarragon, salt & pepperpreparation:In a serving bowl, combine the cucumbers, oranges, and onion rings. In a small bowl, stir together the sugar and vinegar until the sugar dissolves. Pour the vinegar mixture over the cucumber salad. Toss well. Add chopped tarragon. Season with salt and pepper. Chill 1 hour before serving.
name: oriental marinated cucumber saladingredients: white vinegar, soy sauce, sugar, ground ginger, english",8911
"Combine water, yeast, sugar and oil in a large bowllet stand until mixture rises to top of bowl. Combine salt, flour and remaining water in a large measuring cuppour into yeast mixture. Stir well until dough comes together in a ball. Knead dough in bowl for 10 minutesturn dough onto a lightly floured surface. Knead until dough is smooth and elastic, about 10 minutes. Place dough in a large greased bowlturn to coat dough with grease. Cover with plastic wraplet rise in a warm place for 1 hour or until doubled in bulk. Punch down doughdivide dough into 24 equal pieces. Roll each piece into a ballplace in a greased 9 inch square baking dishlet rise in warm place for 1 hour or until dough is 1 inch above edges of pan. Preheat oven to 425 degrees F. Bake rolls for 15 to 20 minutes or until golden brown. Remove from ovenimmediately brush tops with melted butter",275250
"Place white chocolate in medium bowlmicrowave 1 minute on high power until melted, stirring frequently. Stir in cranberries and almonds. Spread into a shallow 13x9-inch pan. Sprinkle with pretzel sticks. Refrigerate until set. Cut into pieces. Store in tightly covered container.",47712
"In large saucepan over medium heat stir together the sugar and salt. Bring mixture to a boil. Cook and stir for 1 minute. Remove from heat and stir in the evaporated milk and butter. Add the chocolate and stir until melted and smooth. Add the chocolate baking squares and the marshmallow creme and stir until blended. Remove saucepan from heat. Add the vanilla and stir until blended. Spoon the mixture into a lightly greased 15x10x1 inch pan. Let cool slightly, then sprinkle with the pecans. Cool completely and cut into squares to serve. Store in an air tight container for up to 5 days.",338155
"Place water and salt in large saucepan. Add green beans. Bring to boil. Cover and reduce heat to medium-low. Cook for 5 minutes or until tender-crisp, stirring occasionally. Mince garlic clove, and finely chop onion. Heat oil in large skillet over medium-high heat until hot. Add tomatoes and cook, stirring occasionally for 5 minutes or until thickened. Add garlic clove and onioncook and stir for 2 minutes or until fragrant. Stir tomato mixture into cooked beans. Toss until blended. Transfer to serving dishtop evenly with almonds.",195860
Whisk all ingredients together. Serve with your favorite stir fry.,374093
Cook bacon and sausage links until crisp. Remove from pan. Drain off any grease. Add hash browns to pan and sprinkle with onion powder. Cook until browned and crispy. Add eggs and water and continue to cook until firm but not dry. Spoon onto plate and top with bacon and sausage links and gravy. Sprinkle with cheese and serve on bagel.,184981
"Peel 3 large baking potatoescut into 1/2-inch wedges. Mix flour, salt and pepper together in a shallow bowl. Mix egg and beer together in a cupplace near flour mixture. Dip each potato wedge in egg mixturethen in flour mixture. Place wedges in a single layer in a shallow baking pan. Bake for 20 minutes in the preheated oven, or until tender when pierced with a fork. Serve hot with ketchup or any other dipping sauce.",33873
"Place kumara in boiling water for 15 minutes or until tender when pierced with knife. Drain in colander. Mix oil, pineapple juice, lemon juice, salt, onion salt in small bowl. Toss kumara with mixture in large serving bowl. Add pineapple, celery, and almonds. Chill 8 hours or overnight before serving.",10039
"Spread bread slices with peanut butter and jelly. In a large non-stick skillet over medium heat, heat 1 tablespoon of butter. When the butter has melted, add 1 sandwich at a time, cooking for 2-3 minutes per side or until golden brown. Transfer the sandwiches to a plate lined with paper towels. Repeat process until all the sandwiches are cooked. Serve warm with a cup of milk for breakfast or as a snack.",29365
Fry a couple of tortillas in butter until golden brown. Spread with a little chili powder. Add a few tablespoons of Mexican blend cheese. Top with baby spinach. Fold over and brown the other side. Cut into wedges and serve with salsa and sour cream.,90283
"In a medium bowl, combine the apples, sugar, cinnamon, nutmeg and butter. Divide apples in half. On one half of the apple, place the pecans on one side. On the other half of the apple, place the pecans on the other side. Bake at 350 degrees for 40 minutes.",102315
"Slice cucumbers. Put in salt brine overnight (10 percent salt to 90 percent water). Drain and rinse. Pack in jars. Add to each jar 1/2 tsp each mustard seed, celery seed, and ground turmeric. Add 1/2 tsp peppercorns. Add 1/4 tsp ginger, 1/4 tsp ginger root, 1/4 tsp onion powder. Pour in 1 cup vinegar per jar. Cap jars and let stand 6 weeks before eating.",44029
Cream together butter and sugars. Beat in eggs. Combine dry ingredients and add to creamed mixture. Stir in vanilla. Drop by teaspoons onto waxed paper. Bake at 350 for 12-15 minutes. Cool. Melt butterscotch chips in microwave for 30 seconds. Drizzle over cooled cookies. Cool before serving.,116248
"Pre heat oven to 350f. Grease 8x8x1-inch pan. In medium bowl beat sugar, egg yolks, oil, and vanilla until smooth. Stir in dry ingredients. Beat egg whites in another bowl until stiff. Fold into batter. Spread into prepared pan. Bake 20-25 minutes. Cool in pan. Cut into squares.",318136
"Steam spinach and drain. In a small bowl combine chicken stock, soy sauce, and sugar. Set aside. Juice and zest oranges and set aside. In a small frying pan, combine oranges and stock mixture and bring to a boil. Add spinach and cook until wilted. Serve hot or chilled. Garnish with toasted sesame seeds and orange slices.",50068
1. Pour espresso into coffee cup. 2. Add half & half. 3. Add 1/2 oz Bailey's Irish Cream. 4. Add 1/2 oz eggnog. 5. Garnish with cinnamon stick and grated nutmeg.,346078
"In large bowl, stir together the cornstarch and 1/2 cup water. Stir in the pineapple. Cook over low heat until thick and clear. Cool. In large mixing bowl combine the cream cheese, butter and 2 cups powdered sugar. Beat until creamy. Gradually add the milk and vanilla. Beat until smooth. Add 1 can of the cool whip and beat until well blended. Pour into serving dish. Spread the pretzel stick over the top of the cream cheese mixture. Spread the remaining cool whip on top of the pretzel sticks. Refrigerate until ready to serve.",174620
Combine skim milk and chocolate flavor instant pudding and pie filling mix in medium bowl. Beat until well blended. Spoon into 4-cup glass bowl or deep 8-inch pie plate sprayed with cooking spray. Refrigerate 3 hours or until set. Top with whipped topping and fruit. Garnish with chocolate shavings and a raspberry if desired.,143560
"Preheat oven to 350 degrees F. Place chicken in a large, shallow baking pan. In a small bowl combine the herbs and 2 tablespoons of the water. Brush the chicken with the oil and sprinkle with the herb mixture. Bake for 40 minutes, or until the juices run clear when the leg is pierced with a knife. Makes 6 servings.",93355
"Preheat oven to 400 degrees. Clean mushrooms and remove and discard stems. Arrange gill side up in a shallow baking pan. Season with salt and pepper to taste. Crack eggs into centers of mushrooms. Place rosemary and basil over eggs. Bake for 8-10 minutes, until eggs are set. Serve immediately.",478531
Melt butter in pan and brown flour for 1 minute. Gradually add chicken broth to flour mixture. Cook until thick and bubbly. Season to taste with salt and pepper. Stir in pan drippings from turkey and reheat. Serve over mashed potatoes.,197320
Pre-heat oven to 350 degrees. In a large bowl stir together the cream cheese and cheddar cheese until blended. Fold in the bacon and the green onions. Spread the mixture evenly into a 13x9-inch baking dish. Bake for 15 minutes or until bubbly. Serves 4.,465650
"Butter a flat pan or cast iron skillet over medium heat. Splenda, butter and cream together until the splenda has dissolved completely. Add the egg and whisk until blended. Sift together the coconut flour, baking powder and salt, add to the mixture, and continue whisking until completely mixed. Drop by spoonfuls onto the hot pan and cook for 3 to 4 minutes on each side or until the pancake is golden brown and crisp on the outside and soft on the inside. Serve immediately with your favorite topping.",352968
"Combine water, sugar and lime juice in a pitcher or large bowl. Stir to dissolve the sugar. Chill for 30 minutes or more before serving. Just before serving, stir in fresh orange juice and serve in a glass filled with crushed ice. Garnish with lime slices or wedges of fresh oranges.",226878
"Preheat oven to 180C/350F. In medium bowl, beat together yolks and 1/2 cup water until smooth. In heavy 2-quart saucepan over medium heat, melt butter. Add onion and saute until tender, about 5 minutes. Add flour and mustard, stirring until mixture bubbles and forms smooth paste. Gradually add milk, stirring constantly until thickened and smooth. Add yolk mixture and stir until smooth. Add cheeses, stirring until cheeses melt. Add remaining 1/2 cup water and ham. Mix well. Line 9-inch pie plate with pastrypour filling into pastry-lined plate. Bake until pastry is golden brown, about 30 minutes. Cool on rack 5 minutes. Garnish with hard-boiled eggs.
The ham and cheese sandwich is an easy-to-make sandwich made from white bread, cheese, ham, mayonnaise, and two slices of bread.
The cheese and mayonnaise are first spread on the two slices of bread. Then the cheese is placed on",79534
"Line a baking sheet with parchment paper or a silicone mat. In a medium saucepan over medium heat, combine the butter, sugar, corn syrup, vanilla, salt and baking soda. Once the butter is melted, whisk constantly until the mixture comes to a boil. Once the mixture boils, cook it for 4-5 minutes until it reaches a dark amber color. Turn the heat off and add the pecans. Stir quickly until all the nuts are covered in the hot mixture. Immediately pour the mixture onto the lined baking sheet. Using a rubber spatula, spread the mixture out into an even layer. Sprinkle the top with more sea salt and let the brittle cool for at least 1 hour or until completely hardened. Break the brittle into pieces with your hands or a knife. Store in an airtight container at room temperature for up to 1 week.",512748
"Cook potatoes until tender. Drain. Add green pepper and onion. Drain bacon. In a large bowl combine potatoes, pepper and onion, eggs, cheese, salt and pepper. Pour into a greased 2-quart baking dish. Bake at 350 for 45 minutes to 1 hour or until a knife inserted near the center comes out clean. Let stand for 10 minutes before serving. Makes 6 servings.",86215
Place bacon on broiler rack and cook about 6 minutes or until crisp. Remove from oven and set aside to cool. Slice bread in half. Spread butter over cut side and sprinkle with chutney. Top with bacon and brie and cover cut side with top half of bread. Press down until sandwich is well pressed together. Cut in half and serve immediately.,191413
Cut off the base of the endives. Remove leaves from the center. Slice the base into 1/4-inch rings. Fill each endive ring with 1/2 tsp of the salmon mixture. Serve immediately.,347128
"Place apple in microwave-safe bowl. Add enough water to cover apple halfway up. Microwave on high until apple is very soft, about 6 minutes. Remove apple from water and discard water. Mash apple with fork or potato masher until smooth. Add sugar and cinnamon to mashed apple. Microwave on high until hot (about 30 seconds) stirring after 10 seconds. Cool slightly. Serve warm.",190193
Boil potatoes in lightly salted water until fork-tender. Cool slightly. Mash potatoes and add remaining ingredients. Beat just until smooth. Adjust seasonings to taste. Makes 8 servings.,347581
"Combine all ingredients except the brandy in a food processor. Pulse until well blended and smooth. Drizzle in the brandy and pulse until the mixture is smooth again. Chill for at least 1 hour before serving. Serve with your favorite breadsticks or crackers or drizzle over potato chips or popcorn.
I'm not sure I've ever tasted blue cheese that I liked, but I have loved the blue cheese dressing I've had before. I wonder if this could be used as a dip for veggies?
This looks good! I like to cook with blue cheese!
I can just smell it now! I'm going to have to try that recipe!
I've never been crazy about blue cheese either. I would like to try this recipe though!
I'm going to try this! Thanks for posting the recipe!
This sounds really good! I'm definitely going to try this recipe!",489949
"In a small bowl combine lemon zest and poppy seed. In another bowl cream together margarine, sugars and yogurt. Stir in vanilla. Sift together flour, baking soda and salt. Stir into wet ingredients. Stir in poppy seed mixture. Drop by rounded teaspoons onto ungreased cookie sheets. Bake for 10 minutes at 375f. Cool completely.",452870
"Heat the oil over medium heat in a large skillet. Add the garlic and cook for 1 minute. Add the crushed tomatoes, the seasoning and the parsley. Cook over low heat for 3 to 4 minutes. Stir in the pepper flakes. Serve over hot pasta. Makes 4 to 6 servings.",40715
"In a Dutch oven, fry the meat with the vegetables. Season with the pepper and salt. Dissolve the tomato puree in a cup of hot water. Add to the meat. Simmer for about 30 minutes. Serve hot on cornbread.",399786
Mix all of the ingredients together in a bowl. Season to taste.,127650
"In a large saucepan over medium heat, saute broccoli florets in unsalted butter until tender and lightly browned. Add minced garlic, and cook until fragrant and lightly browned. Add chicken stock and bring to a boil. Add ziti pasta and cook for 5 minutes or until pasta is tender. Add chicken tenderloins and cook until heated through. Drizzle with extra virgin olive oil to serve.",189736
Combine all dry ingredients in a large bowl. Cut in shortening and mix well. Add garbanzo bean mixture and mix well. Add liquid. Mix well. Drop by the tablespoon onto a lightly greased baking sheet and bake at 350 degrees for 15-18 minutes. Makes 32 biscuits.,135154
"Drain the artichoke hearts. Pat them dry with paper towels and place in a food processor with the egg. Puree until smooth. Transfer the mixture to a bowl and stir in the breadcrumbs. Add the butter and garlic and blend until well combined. Heat the oil in a medium skillet over medium heat. Working in small batches, shape the mixture into balls and flatten them slightly in the pan. Cook for 3 to 4 minutes on each side or until the balls are golden brown and cooked through. Serve warm or at room temperature. Makes about 35 2-inch balls.",24514
Brown ground beef in skillet. Add onion and garlic. Cook until beef is no longer pink. Add tomato puree and stir until hot. Add the chili powder and the salt and stir to combine. Add the water. Add the beans and the cumin. Cover and simmer for about 40 minutes. Serve in bowls and top with shredded cheese.,216194
"Combine dry ingredients in large bowl. Add eggs, oil and vanilla. Stir in blanched almonds. Turn into 9x5x3 inch loaf pan coated with cooking spray. Bake at 350 for 1 hour 10 minutes or until done. Cool 10 minutes. Loosen bread from edges of pan. Turn bread out onto wire rack. Cool completely.
 candied almondsingredients: water, sugar, cinnamon, almondspreparation:Bring water, sugar and cinnamon to a boil. Stirring constantly. Add almonds and toss to coat. Remove almonds with slotted spoon. Arrange on greased baking pan. Bake at 350 for 20 minutes, basting twice with reserved syrup. Cool. Store airtight.",15086
Mix all the seasonings in a small bowl and rub onto steaks. Place in a ziploc bag and refrigerate overnight. Grill over hot coals for about 4 minutes per side for medium rare.,166436
"In a large heavy-bottomed pot, saute the onions and the butter over medium heat. When the onions are tender and translucent, pour in the stock and water. Bring to a boil, then reduce to a simmer. Cook for 1 hour. Season with salt and pepper. Serve with croutons.
I've always used my mom's recipe. The only difference I make is I use 1/2 tsp. salt instead of a tsp.
This is a great recipe. I use the canned croutons from the store. They work just fine.
This recipe is easy to make. I'm always looking for new recipes for the crockpot.
I was surprised how good this turned out!
I was very impressed with this recipe. It was easy to make. I would definitely make it again.
This was a great recipe. I didn't have to make it too many times.
I'm not sure this recipe is easy enough for a beginner.
I don't think this recipe was very good.
This recipe was great! I had to make it twice because my",152601
Crumble a handful of doritos in the bottom of a 9 x 13 inch casserole dish. Layer half of the chicken on top of the crumbs. Then add half of the barbecue sauce and sprinkle half of the cheeses on top of the sauce. Repeat the layers. Bake at 350 degrees for 15-20 minutes or until the cheeses are melted and the chicken is hot. Serve with additional barbecue sauce if desired.,283686
"Cook penne in boiling water for 8-10 minutes. Meanwhile, heat olive oil over medium heat. Add the garlic and saute for 1 minute. Add the diced tomatoes and cook for 30-35 minutes until thick. Add the chili powder and cook for 1 minute. Add the cream and bring to a boil. Add the vodka and cook for 2-3 minutes. Add the romano and toss. Add the cilantro and toss again. Add the cooked penne and toss to combine. Serves 4-6.",275413
Mix all ingredients. Put in greased pan and bake in 350 oven for 1 hour.,393245
Place chicken and broth in a slow cooker. Add garlic. Season with salt and pepper. Cook on high for 4 hours or low for 8 hours. Shred chicken with a fork. Stir in pesto. Serve over pasta.,468120
"Heat oven to 400 degrees. Split pitas in half. Fill with chicken, tomato, lettuce, avocado slices, monterey jack cheese, and lemon juice. Sprinkle with garlic powder and hot sauce. Bake for 10 minutes or until cheese is melted. Serve with extra hot pepper sauce for dipping.",298576
"Preheat oven to 400. In a bowl mix together habanero sauce, tabasco, ground red pepper, white vinegar and brown sugar. In a large bowl place your chicken wings and sprinkle garlic powder over top. Add habanero sauce mix and toss to coat well. Arrange in a single layer in a large roasting pan. Bake for about 45 minutes or until cooked through. Cut wings into sections and arrange in a serving dish. Pour over remaining habanero mix. Garnish with blue cheese salad dressing and iceberg lettuce.",21279
"Preheat the oven to 170C/325F/Gas 3. Lightly grease 6 muffin moulds or 4 small tins. Beat the ricotta and sugar together in a bowl until smooth. Stir in the honey and the beaten eggs. Add the cinnamon and lemon juice. Spoon into the moulds or tins. Bake in the oven for 20 minutes until golden. Leave to cool slightly and then remove the cakes from the moulds or tins and transfer onto a wire rack. Chill in the fridge for at least 1 hour. To serve, drizzle with honey.
",133560
"Squeeze the juice from the lemon half into the bowl. Add the zest and the juice from the other half. Add the greens. Stir gently to combine. Heat the oil in a large skillet over medium-high heat. Add the shrimp and garlic and stir-fry for 1 minute. Add the wine. Bring to a boil. Add the chilies and simmer until the shrimp are opaque throughout, about 2 minutes. Add the tamari and cook, stirring occasionally, until the sauce thickens slightly. Season with salt and pepper. Transfer the greens to serving plates. Spoon the shrimp over the greens. Drizzle the sauce over all. Garnish with the remaining lemon half. Serve immediately.",141984
"Preheat oven to 375F. Combine the chicken wings, hot sauce, honey, wine and seasonings in a large bowlmix well. Bake the wings in a single layer in a shallow baking dish for 40 minutes or until browned. Yield 4 servings (21/2 pounds).",408862
Preheat oven to 350F. Cut in shortening until mixture resembles coarse crumbs. Add buttermilk all at once and stir until smooth. Stir in egg. Beat well. Pour batter into greased and floured 8x8 inch pan. Bake for 30 to 35 minutes or until done. Cut into squares and serve warm with butter.,295203
In a medium size skillet brown beef and drain fat. In a 9 x 13 casserole dish place half of the tortilla chips on the bottom. Layer with 1/3 of the beef mixture and half the cheese. Top with 1/2 of the salsa and half of the sour cream. Repeat layers once. Top with remaining sour cream and sprinkle with olives and onions. Bake at 350 for 25 minutes or until heated through. Serve with the remaining tortilla chips and salsa.,166687
Boil eggs for 8 minutes and cool completely in ice water. Peel and chop the vegetables. In a large saucepan bring the water and sugar to a rolling boil. Stir in the spices and vegetables. Simmer for 20 minutes. Add the eggs and simmer for an additional 30 minutes. Pack the hot mixture in a sterilized jar and seal tightly. Let cool completely and refrigerate overnight before serving. This keeps for several days in the fridge.,12958
"Heat oven to 350 degrees F. Brown pork chops on both sides in oil. Combine stuffing mix and apple pie filling. Stuff the pork chops and bake for 1 hour.
",108306
"Combine popcorn, dried fruit and nuts in a large bowl and set aside. Put dark and white chocolates in separate microwave safe bowls and heat for about one minute at a time. Stir until smooth. Pour white and dark chocolates over the popcorn mixture and stir until evenly coated. Refrigerate for an hour to set. Store in an airtight container.
This is a great recipe to use up left over Halloween candy.
A great cereal for those who need a low calorie meal replacement.",217271
"In a small bowl or jar, combine all of the ingredients, except the lemon juice. Cover and shake vigorously until the mixture is thoroughly combined. Let the salad dressing stand for 5 minutes to blend the flavors. Add the lemon juice. Shake again.",299349
Cook on the stove top for 30-40 minutes. Let cool. Stir in powdered sugar and almond extract. Serve warm or chilled.,70617
"Preheat the oven to 350 degrees f. In a bowl combine the raisins, the ground flax seeds, the rolled oats, the almond butter, the ground cinnamon, the salt, the water and the maple syrup. Mix the batter until it is combined. Drop spoonfuls of the dough on a parchment paper lined cookie sheet. Bake for about 15 minutes. The cookies will be lightly browned. Remove from the oven. The cookies will be sticky. Allow to cool for about an hour. When cooled, the cookies will be crunchy. You may want to add more water if the dough is too dry.",476489
"Beat together butter, brown sugar, peanut butter, egg, powdered sweetener, flour, protein powder, soda, salt & baking powder. Roll into 1"" balls & flatten with fork. Bake 5-7 minutes on ungreased cookie sheet at 350 degrees.",278875
"In a large pot of boiling water, cook green beans 2 minutes. Drain. In a small bowl, combine tomatoes, garlic and 1/4 teaspoon pepper. In another bowl combine cheese and basil. In a small saucepan combine vinegar and 2 tablespoons water. Bring to a boil. Remove from heat. Drizzle over green beans. Toss to coat. Serve warm or at room temperature. To serve, spoon onto salad plates. Divide tomato mixture evenly among 6 plates. Top with 1/3 cup cheese mixture. Makes 6 servings, 1 cup each.",228291
"In a large skillet over medium heat, brown hot dogs in oil. Sprinkle with onion, garlic salt and pepper. Stir in potatoes and water. Bring to a boil. Reduce heat, cover and simmer for 15 minutes or until potatoes are tender. Sprinkle with cheddar cheese just before serving.",23121
Cut 4 jalapenos open lengthwise and remove seeds and ribs. In a small bowl combine cream cheese and avocado. Add 1/4 cup of grated Parmesan cheese. Mix well. Stuff each jalapeno with the mixture. Combine chopped bell pepper and 1/2 tsp. of the garlic powder. Place each stuffed jalapeno on a large baking tray. Top each with the bell pepper mixture. Bake 20 minutes. Mix 1/2 cup of the yellow onion and the remaining 2 tsp. of the garlic powder. Brush the onion mixture over the top of each jalapeno. Broil 3 minutes or until onion is golden brown. Remove from the oven and sprinkle with remaining 1/4 cup of Parmesan cheese. Let stand 5 minutes before serving. Makes 4 servings.,4784
"Bring 2 inches of water to a boil in a large stockpot. Add the broccoli and boil for about 5 minutes. Drain and rinse under cold water. Set aside. In a medium bowl, combine the remaining ingredients except for dressing. Add the broccoli, tossing gently until combined. Refrigerate for at least 3 hours before serving. Stir just before serving.",391238
Boil sweet potatoes peel. Cool mash. Add remaining ingredients mix well. Make into balls. Roll in crumbs or nuts. Refrigerate until serving time.,109548
"Preheat oven to 400°. Cook penne as directed on package. Drain pasta. Add ricotta cheese and stir. Add lemon juice and butter. Toss well. Add olive oil. Sprinkle with salt and pepper. Add basil and toss again. Spread out evenly onto baking sheet. Bake for 10 minutes.
name: mike s penne a la vodkaingredients: heavy cream, garlic, crushed red pepper flakes, vodka, diced tomatoes, parmesan cheese, pennepreparation:Add ingredients in order listed to medium saucepan over medium heat. Gradually increase heat as needed, and stir constantly. Once sauce is warm, add parmesan. Cook penne according to package directions. Continue stirring until hot. Pour over warm penne. Add more parmesan if wanted.
name: ricotta and tomato fettuccineingredients: fettuccine, butter, ricotta cheese, asiago cheese, garlic powder, tomatoes, fresh basil leaves",419610
"Heat the olive oil in a large frying pan or wok over a medium heat. Add the onion and sauté for 5 minutes until softened. Add the chorizo sausage and fry for 3 minutes until browned. Add the chopped tomatoes and cook over a low heat for 5 minutes. Add the tomato puree, chili flakes and season well. Add the green chili peppers and stir well. Add the cooked pasta and mix well. Transfer the mixture into a large ovenproof dish. Top with the grated Parmesan. Bake for 15–20 minutes until the top is golden brown and the cheese is melted. Serve immediately.",173498
"In a blender or food processor puree all the sauce ingredients. Melt butter with oil in a large saute pan over medium heat. Add the sauce to the hot pan. Stirring constantly, allow the sauce to simmer about 10 minutes. Add more butter or olive oil if you would like a richer sauce. Add the scallops. Saute until they are cooked. Sprinkle with lemon juice. Serve with the lemon wedges.",381641
"Cook rice according to directions. In saute pan over medium heat, saute red onion and scallions in oil until tender. Add cumin and garlic and cook about 30 seconds. Add rotel. Cook about 2 minutes. Add rice. Add water and black beans. Stir and let simmer about 5 minutes. Stuff poblano peppers with rice mixture. Cover with cheese and bake at 375 for about 20 minutes. Serve hot.
Name: 15 Minute Chili
Ingredients: Ground turkey, onion, pinto beans, kidney beans, stewed tomatoes, chili powder, cumin, salt, salsa
Preparation: In a large pot, brown meat with chopped onion. Drain grease, if necessary. Add beans, tomatoes, garlic, chili powder, cumin, salt and salsa to meat mixture. Cook until heated through. Serve with cornbread, cooked pasta, cooked rice, or on top of a baked potato. Sprinkle with cheese if desired.
Name:",348096
"Place the pork tenderloin in a slow cooker. Add the red peppers and teriyaki. Stir. Add the rice wine vinegar and crushed red pepper flakes. Add the garlic and green onions. Add the creamy peanut butter and stir. Pour in the water and stir again. Add the roasted peanuts and limes. Cook on high for 4 hours. When the meat is done, add the lime juice and stir. Serve over rice and top with the green onions.",519840
